Fecha,Anio,Mes,Dia,NombreMes,NombreDia,Trimestre,EsFestivo,Hora,RangoHorario,Localidad,Barrio,Direccion,NomViaPrincipal,NomViaSecundaria,Cuadrante,Latitud,Longitud,TipoVehiculo,TipoServicio,SubtipoServicio,TipoIncidente,ClaseSiniestro,ObjetoFijo,CondicionClimatica,CantIncidentes,CantHeridos,CantMuertos
2025-01-01,2025,1,1,Enero,Miércoles,1,1,0,Madrugada,Bosa,Centro,Calle 65 Sur con Carrera 80,Calle 65 Sur,Carrera 80,CAI Bosa Piamonte,5,-74,Motocicleta,Particular,No Aplica,Choque objeto fijo con lesionado,Choque,Andén,Despejado,1,1,0
2025-01-04,2025,1,4,Enero,Sábado,1,0,0,Madrugada,Usme,Alfonso López,Calle 91 Sur con Carrera 5 Este,Calle 91 Sur,Carrera 5 Este,CAI Alfonso López,5,-74,Motocicleta,Particular,No Aplica,Autolesionado,Autolesionado,Ninguno,Niebla,1,1,0
2025-01-05,2025,1,5,Enero,Domingo,1,0,0,Madrugada,Usme,Alfonso López,Calle 91 Sur con Carrera 5 Este,Calle 91 Sur,Carrera 5 Este,CAI Alfonso López,5,-74,Motocicleta,Particular,No Aplica,Autolesionado,Autolesionado,Ninguno,Niebla,1,1,0
2023-03-15,2023,3,15,Marzo,Miércoles,1,0,18,Hora Pico Tarde,Chapinero,Rosales,Carrera 5 con Calle 76,Carrera 5,Calle 76,CAI Rosales,5,-74,Motocicleta,Particular,No Aplica,Choque objeto fijo con lesionado,Choque,Separador,Niebla,1,2,0
2023-09-21,2023,9,21,Septiembre,Jueves,3,0,17,Hora Pico Tarde,Suba,Niza,Av. Suba con Calle 127,Av. Suba,Calle 127,CAI Niza,5,-74,Motocicleta,Particular,No Aplica,Caida de ocupante,Caída de ocupante,Ninguno,Lluvia,1,2,0
2024-02-14,2024,2,14,Febrero,Miércoles,1,0,12,Hora Valle,Bosa,San Bernardino,Carrera 88C con Calle 72 Sur,Carrera 88C,Calle 72 Sur,CAI San Bernardino,5,-74,Motocicleta,Particular,No Aplica,Caida de ocupante,Caída de ocupante,Ninguno,Húmedo,1,1,0
2024-05-01,2024,5,1,Mayo,Miércoles,2,1,14,Hora Valle,Bosa,La Estación,Autopista Sur con Carrera 77G,Autopista Sur,Carrera 77G,CAI Terminal Sur,5,-74,Motocicleta,Particular,No Aplica,Autolesionado,Autolesionado,Ninguno,Niebla,1,1,0
2024-06-03,2024,6,3,Junio,Lunes,2,1,22,Noche,Chapinero,Emaus,Carrera 4 con Calle 62,Carrera 4,Calle 62,CAI Chapinero,5,-74,Motocicleta,Particular,No Aplica,Autolesionado,Autolesionado,Ninguno,Despejado,1,1,0
2022-04-30,2022,4,30,Abril,Sábado,2,0,4,Madrugada,Usaquén,Galerías,Autopista Norte con Calle 100,Autopista Norte,Calle 100,CAI Salitre,5,-74,Motocicleta,Particular,No Aplica,Autolesionado,Autolesionado,Ninguno,Despejado,1,0,0
2024-08-19,2024,8,19,Agosto,Lunes,3,1,17,Hora Pico Tarde,Los Mártires,Saman,Avenida Carrera 30 con Calle 3,Avenida Carrera 30,Calle 3,CAI Santa Isabel,5,-74,Motocicleta,Particular,No Aplica,Choque con objeto fijo,Choque,Poste,Despejado,1,0,0
2025-10-13,2025,10,13,Octubre,Lunes,4,1,14,Hora Valle,Kennedy,Roma,Calle 56 Sur con Carrera 79C,Calle 56 Sur,Carrera 79C,CAI Roma,5,-74,Motocicleta,Particular,No Aplica,Fallecido hospitalario,Otros,Ninguno,Lluvia,1,0,2
2025-12-08,2025,12,8,Diciembre,Lunes,4,1,18,Hora Pico Tarde,Usaquén,San Cristóbal Norte,Carrera 9 con Calle 163,Carrera 9,Calle 163,CAI San Cristóbal,5,-74,Motocicleta,Particular,No Aplica,Volcamiento,Volcamiento,Ninguno,Niebla,1,0,0
2025-12-31,2025,12,31,Diciembre,Miércoles,4,0,23,Madrugada,Puente Aranda,Pensilvania,Calle 6 con Carrera 32,Calle 6,Carrera 32,CAI Pensilvania,5,-74,Motocicleta,Particular,No Aplica,Volcamiento con lesionado,Volcamiento,Andén,Lluvia,1,2,0
2025-01-03,2025,1,3,Enero,Viernes,1,0,0,Madrugada,Chapinero,Quinta Camacho,Carrera 11 con Calle 72,Carrera 11,Calle 72,CAI Quinta Camacho,5,-74,Motocicleta,Particular,No Aplica,Autolesionado,Autolesionado,Ninguno,Despejado,1,1,0
2024-01-15,2024,1,15,Enero,Lunes,1,0,7,Hora Pico Mañana,Suba,Tibabuyes,Avenida Ciudad de Cali con Calle 139,Avenida Ciudad de Cali,Calle 139,CAI La Gaitana,5,-74,Motocicleta,Particular,No Aplica,Caida de ocupante,Caída de ocupante,Ninguno,Despejado,1,1,0
2024-04-10,2024,4,10,Abril,Miércoles,2,0,9,Hora Valle,Puente Aranda,Galan,Carrera 56 con Calle 3,Carrera 56,Calle 3,CAI Galán,5,-74,Motocicleta,Particular,No Aplica,Choque objeto fijo con lesionado,Choque,Señal de Tránsito,Despejado,1,2,0
2025-03-15,2025,3,15,Marzo,Sábado,1,0,9,Hora Valle,Barrios Unidos,Entre Ríos,Calle 80 con Carrera 50,Calle 80,Carrera 50,CAI Entre Ríos,5,-74,Motocicleta,Particular,No Aplica,Choque con lesionado,Choque,Separador,Lluvia,1,3,0
2025-04-10,2025,4,10,Abril,Jueves,2,0,11,Hora Valle,Rafael Uribe Uribe,Centenario,Carrera 24 con Calle 33 Sur,Carrera 24,Calle 33 Sur,CAI Centenario,5,-74,Motocicleta,Particular,No Aplica,Choque objeto fijo con lesionado,Choque,Muro,Lluvia,1,1,0
